result:
First high point      Low point        Second high point  Fall rate    Up rate 
1992-11-12 00:00:00     4947.8     1992-12-16 00:00:00     0.235     0.095     
1994-02-04 00:00:00     8534     1994-04-13 00:00:00     0.300     0.161     
1994-11-17 00:00:00     7670.8     1994-12-22 00:00:00     0.203     0.103     
1997-08-07 00:00:00     12899.8     1997-09-09 00:00:00     0.233     0.166     
1997-10-06 00:00:00     8775.9     1997-11-04 00:00:00     0.424     0.329     
1997-12-31 00:00:00     7909.1     1998-02-11 00:00:00     0.277     0.415     
1998-05-21 00:00:00     7351.68     1998-07-02 00:00:00     0.244     0.220     
1998-07-17 00:00:00     6544.79     1998-08-27 00:00:00     0.249     0.211     
2000-03-28 00:00:00     14288.33     2000-05-17 00:00:00     0.223     0.070     
2001-02-07 00:00:00     12061.55     2001-04-19 00:00:00     0.249     0.129     
2001-08-16 00:00:00     8894.36     2001-10-11 00:00:00     0.271     0.196     
2007-12-27 00:00:00     21709.63     2008-02-04 00:00:00     0.234     0.156     
2008-08-28 00:00:00     16283.7197     2008-09-22 00:00:00     0.244     0.220     
2008-09-22 00:00:00     10676.29     2008-11-05 00:00:00     0.463     0.435     
2008-11-05 00:00:00     11814.8096     2008-12-11 00:00:00     0.229     0.336     
2009-01-07 00:00:00     12439.1299     2009-02-10 00:00:00     0.211     0.124     
