result:
First high point      Low point        Second high point  Fall rate    Up rate 
2005-04-13 00:00:00     998.228     2005-06-09 00:00:00     0.204     0.148     
2007-05-29 00:00:00     3404.146     2007-06-20 00:00:00     0.215     0.267     
2007-11-01 00:00:00     4778.727     2007-12-11 00:00:00     0.204     0.090     
2008-01-14 00:00:00     4195.753     2008-02-20 00:00:00     0.240     0.119     
2008-03-04 00:00:00     3271.29     2008-04-08 00:00:00     0.269     0.118     
2008-05-15 00:00:00     2695.628     2008-06-26 00:00:00     0.273     0.087     
2008-07-28 00:00:00     2284.585     2008-08-20 00:00:00     0.219     0.105     
2008-08-20 00:00:00     1802.331     2008-09-25 00:00:00     0.286     0.295     
2008-09-25 00:00:00     1664.925     2008-11-18 00:00:00     0.286     0.232     
2009-08-04 00:00:00     2639.759     2009-09-18 00:00:00     0.241     0.162     
2010-04-15 00:00:00     2481.974     2010-05-28 00:00:00     0.220     0.082     
2013-05-29 00:00:00     1849.653     2013-07-11 00:00:00     0.208     0.131     
